,filing_org,filing_ein,tax_year,tot_expenses,filing_org_temp
1665,GEORGE MASON UNIVERSITY FOUNDATION INC,541603842,2020-06-30,109871972,GEORGE MASON UNIVERSITY FOUNDATION INC
1666,George Mason University Foundation Inc,541603842,2019-06-30,89291125,GEORGE MASON UNIVERSITY FOUNDATION INC
1667,George Mason University Foundation Inc,541603842,2018-06-30,80376181,GEORGE MASON UNIVERSITY FOUNDATION INC
1668,George Mason University Foundation Inc,541603842,2017-06-30,78654099,GEORGE MASON UNIVERSITY FOUNDATION INC
1669,George Mason University Foundation Inc,541603842,2016-06-30,69106033,GEORGE MASON UNIVERSITY FOUNDATION INC
1670,George Mason University Foundation Inc,541603842,2015-06-30,56365128,GEORGE MASON UNIVERSITY FOUNDATION INC
1671,GEORGE MASON UNIVERSITY FOUNDATION INC,541603842,2014-06-30,51503935,GEORGE MASON UNIVERSITY FOUNDATION INC
1672,INTERNATIONAL SOCIETY FOR INDIVIDUAL LIBERTY,541512492,2020-12-31,179154,
1673,INTERNATIONAL SOCIETY FOR INDIVIDUAL LIBERTY,541512492,2019-12-31,167412,
1674,INT'L SOCIETY FOR INDIVIDUAL LIBERTY,541512492,2015-12-31,209550,
1675,CERGE-EI Foundation,251725738,2019-12-31,5354089,
1676,CERGE-EI Foundation,251725738,2015-12-31,2740894,
1677,CERGE-EI Foundation,251725738,2014-12-31,2864120,
1678,CERGE -EI Foundation,251725738,2013-12-31,2688238,
1679,KANSAS POLICY INSTITUTE,237047821,2024-12-31,2491113,
1680,American Battlefield Trust,541426643,2024-03-31,22258978,
1681,American Battlefield Trust,541426643,2023-03-31,19273792,
1682,American Battlefield Trust,541426643,2022-03-31,16827963,
1683,AMERICAN BATTLEFIELD TRUST,541426643,2021-03-31,13820675,
1684,AMERICAN BATTLEFIELD TRUST,541426643,2020-03-31,15774376,
1685,AMERICAN BATTLEFIELD TRUST,541426643,2019-03-31,22185692,
1686,AMERICAN BATTLEFIELD TRUST,541426643,2018-03-31,18615067,
1687,CIVIL WAR PRESERVATION TRUST,541426643,2017-03-31,17884556,
1688,CIVIL WAR PRESERVATION TRUST,541426643,2016-03-31,23274527,
1689,CIVIL WAR PRESERVATION TRUST,541426643,2013-12-31,22526725,
1690,UCLA FOUNDATION,952250801,2024-06-30,505905147,UCLA FOUNDATION
1691,UCLA FOUNDATION,952250801,2023-06-30,465030054,UCLA FOUNDATION
1692,UCLA FOUNDATION,952250801,2022-06-30,398046449,UCLA FOUNDATION
1693,UCLA FOUNDATION,952250801,2021-06-30,396685031,UCLA FOUNDATION
1694,UCLA FOUNDATION,952250801,2020-06-30,349625642,UCLA FOUNDATION
1695,UCLA FOUNDATION,952250801,2019-06-30,333382411,UCLA FOUNDATION
1696,UCLA FOUNDATION,952250801,2018-06-30,355582148,UCLA FOUNDATION
1697,UCLA FOUNDATION,952250801,2017-06-30,292839220,UCLA FOUNDATION
1698,UCLA FOUNDATION,952250801,2016-06-30,259253712,UCLA FOUNDATION
1699,UCLA FOUNDATION,952250801,2015-06-30,257454018,UCLA FOUNDATION
1700,UCLA FOUNDATION,952250801,2014-06-30,245333506,UCLA FOUNDATION
1701,FAMILIES AGAINST MANDATORY,521750246,2024-12-31,4421688,
1702,FAMILIES AGAINST MANDATORY,521750246,2023-12-31,4363896,
1703,FAMILIES AGAINST MANDATORY,521750246,2022-12-31,3757885,
1704,FAMILIES AGAINST MANDATORY,521750246,2020-12-31,3605617,
1705,Foundation for the Defense of,134174402,2024-12-31,30922870,
1706,Foundation for the Defense of,134174402,2023-12-31,25394541,
1707,Foundation for the Defense of,134174402,2021-12-31,17665987,
1708,FOUNDATION FOR THE DEFENSE OF,134174402,2020-12-31,16908812,
1709,FOUNDATION FOR THE DEFENSE OF,134174402,2019-12-31,16963767,
1710,FOUNDATION FOR THE DEFENSE OF,134174402,2017-12-31,13388267,
1711,FOUNDATION FOR THE DEFENSE OF,134174402,2016-12-31,11705479,
1712,FOUNDATION FOR THE DEFENSE OF,134174402,2015-12-31,10411942,
1713,First Freedoms Foundation Inc,391962608,2014-12-31,215059,
1714,ANTI-DEFAMATION LEAGUE,131818723,2024-06-30,129785524,
1715,ANTI-DEFAMATION LEAGUE,131818723,2023-06-30,57939187,
1716,ANTI-DEFAMATION LEAGUE,131818723,2022-12-31,100194254,
1717,ANTI-DEFAMATION LEAGUE,131818723,2021-12-31,81510625,
1718,MUSEUM OF THE ROCKIES INC,816016828,2019-12-31,3504653,
1719,MUSEUM OF THE ROCKIES,816016828,2018-12-31,3544236,
1720,MUSEUM OF THE ROCKIES,816016828,2017-12-31,3641723,
1721,MUSEUM OF THE ROCKIES,816016828,2016-12-31,3366771,
1722,MUSEUM OF THE ROCKIES,816016828,2015-12-31,4039238,
1723,MUSEUM OF THE ROCKIES,816016828,2014-12-31,4219370,
1724,MUSEUM OF THE ROCKIES,816016828,2013-12-31,4136138,
1725,Carnegie Institution of Washington,530196523,2019-06-30,96120041,CARNEGIE INSTITUTION OF WASHINGTON
1726,Carnegie Institution of Washington,530196523,2018-06-30,97937551,CARNEGIE INSTITUTION OF WASHINGTON
1727,CARNEGIE INSTITUTION OF WASHINGTON,530196523,2017-06-30,100297805,CARNEGIE INSTITUTION OF WASHINGTON
1728,CARNEGIE INSTITUTION OF WASHINGTON,530196523,2016-06-30,101312923,CARNEGIE INSTITUTION OF WASHINGTON
1729,CARNEGIE INSTITUTION OF WASHINGTON,530196523,2015-06-30,101736380,CARNEGIE INSTITUTION OF WASHINGTON
1730,CARNEGIE INSTITUTION OF WASHINGTON,530196523,2014-06-30,97659587,CARNEGIE INSTITUTION OF WASHINGTON
1731,PELICAN INSTITUTE FOR PUBLIC POLICY,261704791,2022-12-31,2300589,
1732,PELICAN INSTITUTE FOR PUBLIC POLICY,261704791,2021-12-31,1745697,
1733,WYOMING LIBERTY GROUP,262828115,2022-12-31,850530,
1734,EMPIRE CENTER FOR PUBLIC POLICY INC,461987418,2023-09-30,1881965,
1735,EMPIRE CENTER FOR PUBLIC POLICY INC,461987418,2022-09-30,1935801,
1736,EMPIRE CENTER FOR PUBLIC POLICY INC,461987418,2021-09-30,1693314,
1737,American Civil Rights Union,522121856,2016-12-31,3900863,
1738,American Civil Rights Union,522121856,2015-12-31,4591647,
1739,American Civil Rights Union,522121856,2014-12-31,2290894,
1740,American Civil Rights Union,522121856,2013-12-31,2799546,
1741,CHAPMAN UNIVERSITY,951643992,2024-05-31,682269801,CHAPMAN UNIVERSITY
1742,CHAPMAN UNIVERSITY,951643992,2023-05-31,650111702,CHAPMAN UNIVERSITY
1743,CHAPMAN UNIVERSITY,951643992,2022-05-31,583235927,CHAPMAN UNIVERSITY
1744,CHAPMAN UNIVERSITY,951643992,2021-05-31,526811096,CHAPMAN UNIVERSITY
1745,CHAPMAN UNIVERSITY,951643992,2020-05-31,537552481,CHAPMAN UNIVERSITY
1746,CHAPMAN UNIVERSITY,951643992,2019-05-31,503694683,CHAPMAN UNIVERSITY
1747,CHAPMAN UNIVERSITY,951643992,2018-05-31,452093332,CHAPMAN UNIVERSITY
1748,CHAPMAN UNIVERSITY,951643992,2014-05-31,340282678,CHAPMAN UNIVERSITY
1749,THE COMMON GOOD INSTITUTE,133859811,2014-06-30,1026202,THE COMMON GOOD INSTITUTE
1750,THE GEORGE WASHINGTON UNIVERSITY,530196584,2024-06-30,1871220964,THE GEORGE WASHINGTON UNIVERSITY
1751,The George Washington University,530196584,2023-06-30,1749076031,THE GEORGE WASHINGTON UNIVERSITY
1752,The George Washington University,530196584,2022-06-30,1665300765,THE GEORGE WASHINGTON UNIVERSITY
1753,The George Washington University,530196584,2021-06-30,1529825645,THE GEORGE WASHINGTON UNIVERSITY
1754,The George Washington University,530196584,2020-06-30,1698549530,THE GEORGE WASHINGTON UNIVERSITY
1755,The George Washington University,530196584,2019-06-30,1679146901,THE GEORGE WASHINGTON UNIVERSITY
1756,The George Washington University,530196584,2018-06-30,1623057969,THE GEORGE WASHINGTON UNIVERSITY
1757,The George Washington University,530196584,2017-06-30,1547715237,THE GEORGE WASHINGTON UNIVERSITY
1758,The George Washington University,530196584,2016-06-30,1502264910,THE GEORGE WASHINGTON UNIVERSITY
1759,The George Washington University,530196584,2015-06-30,1467218482,THE GEORGE WASHINGTON UNIVERSITY
1760,THE GEORGE WASHINGTON UNIVERSITY,530196584,2014-06-30,1412277225,THE GEORGE WASHINGTON UNIVERSITY
1761,DONOR ADVISED CHARITABLE GIVING INC,311640316,2024-06-30,6747958156,
1762,SCHWAB CHARITABLE FUND,311640316,2023-06-30,5162915749,
1763,SCHWAB CHARITABLE FUND,311640316,2022-06-30,4800912221,
1764,SCHWAB CHARITABLE FUND,311640316,2021-06-30,3790337657,
1765,SCHWAB CHARITABLE FUND,311640316,2020-06-30,3353115616,
1766,SCHWAB CHARITABLE FUND,311640316,2019-06-30,2524294424,
1767,SCHWAB CHARITABLE FUND,311640316,2018-06-30,1916641526,
1768,SCHWAB CHARITABLE FUND,311640316,2017-06-30,1595320832,
1769,SCHWAB CHARITABLE FUND,311640316,2016-06-30,1198758599,
1770,SCHWAB CHARITABLE FUND,311640316,2015-06-30,1079216044,
1771,Students For Liberty Inc,943435899,2017-04-30,3853938,
1772,First Liberty Institute,751403169,2024-06-30,24763979,
1773,First Liberty Institute,751403169,2023-06-30,23902426,
1774,First Liberty Institute,751403169,2022-06-30,19847586,
1775,First Liberty Institute,751403169,2021-06-30,14742679,
1776,First Liberty Institute,751403169,2020-06-30,11622940,
1777,THE GEORGE W BUSH FOUNDATION,204119317,2024-12-31,36902028,
1778,THE GEORGE W BUSH FOUNDATION,204119317,2023-12-31,35686260,
1779,THE GEORGE W BUSH FOUNDATION,204119317,2022-12-31,33090924,
1780,THE GEORGE W BUSH FOUNDATION,204119317,2021-12-31,30053563,
1781,THE GEORGE W BUSH FOUNDATION,204119317,2020-12-31,33781527,
1782,THE GEORGE W BUSH FOUNDATION,204119317,2019-12-31,40823912,
1783,THE GEORGE W BUSH FOUNDATION,204119317,2018-12-31,45340466,
1784,THE GEORGE W BUSH FOUNDATION,204119317,2017-12-31,41127663,
1785,THE GEORGE W BUSH FOUNDATION,204119317,2016-12-31,41636872,
1786,THE GEORGE W BUSH FOUNDATION,204119317,2015-12-31,49888312,
1787,THE GEORGE W BUSH FOUNDATION,204119317,2014-12-31,49659987,
1788,Students for Life of America Inc,521576352,2023-12-31,14064155,
1789,Indiana University Foundation,356018940,2024-06-30,281606520,Indiana University Foundation
1790,Indiana University Foundation,356018940,2023-06-30,261097805,Indiana University Foundation
1791,Indiana University Foundation,356018940,2022-06-30,389768635,Indiana University Foundation
1792,Indiana University Foundation Inc,356018940,2021-06-30,231169533,Indiana University Foundation
1793,Indiana University Foundation Inc,356018940,2020-06-30,238335156,Indiana University Foundation
1794,Indiana University Foundation Inc,356018940,2019-06-30,239782427,Indiana University Foundation
1795,Indiana University Foundation Inc,356018940,2018-06-30,287297017,Indiana University Foundation
1796,Indiana University Foundation Inc,356018940,2017-06-30,223988014,Indiana University Foundation
1797,Indiana University Foundation,356018940,2016-06-30,207925796,Indiana University Foundation
1798,Indiana University Foundation,356018940,2015-06-30,208476299,Indiana University Foundation
1799,Indiana University Foundation,356018940,2014-06-30,193899777,Indiana University Foundation
1800,THE 85 FUND,202466871,2024-12-31,169654423,
1801,THE 85 FUND,202466871,2023-12-31,145383583,
1802,THE 85 FUND,202466871,2022-12-31,138818674,
1803,The 85 Fund,202466871,2021-12-31,113588711,
1804,The 85 Fund,202466871,2020-12-31,59753082,
1805,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2024-11-30,265467106,PEF ISRAEL ENDOWMENT FUNDS INC
1806,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2023-11-30,284561548,PEF ISRAEL ENDOWMENT FUNDS INC
1807,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2022-11-30,167223233,PEF ISRAEL ENDOWMENT FUNDS INC
1808,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2021-11-30,177009607,PEF ISRAEL ENDOWMENT FUNDS INC
1809,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2020-11-30,157987440,PEF ISRAEL ENDOWMENT FUNDS INC
1810,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2019-11-30,138315920,PEF ISRAEL ENDOWMENT FUNDS INC
1811,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2018-11-30,102845359,PEF ISRAEL ENDOWMENT FUNDS INC
1812,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2017-11-30,106210516,PEF ISRAEL ENDOWMENT FUNDS INC
1813,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2016-11-30,106640136,PEF ISRAEL ENDOWMENT FUNDS INC
1814,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2015-11-30,67687033,PEF ISRAEL ENDOWMENT FUNDS INC
1815,PEF ISRAEL ENDOWMENT FUNDS INC,136104086,2014-11-30,70353451,PEF ISRAEL ENDOWMENT FUNDS INC
1816,JOB CREATORS NETWORK FOUNDATION,273638207,2024-12-31,4389587,
1817,JOB CREATORS NETWORK FOUNDATION,273638207,2023-12-31,3681974,
1818,JOB CREATORS NETWORK FOUNDATION,273638207,2022-12-31,4213949,
1819,JOB CREATORS NETWORK FOUNDATION,273638207,2021-12-31,2748738,
1820,JOB CREATORS NETWORK FOUNDATION,273638207,2020-12-31,3700434,
1821,JOB CREATORS NETWORK FOUNDATION,273638207,2019-12-31,3305974,
1822,JOB CREATORS NETWORK FOUNDATION,273638207,2018-12-31,1116399,
1823,THE UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2024-12-31,64804284,
1824,THE UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2023-12-31,51129188,
1825,THE UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2022-12-31,50729809,
1826,UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2021-12-31,45946940,
1827,UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2020-12-31,36103845,
1828,UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2019-12-31,36558691,
1829,UNIVERSITY OF TEXAS FOUNDATION INC,741587488,2018-12-31,32849677,
1830,THE UNIVERSITY OF TEXAS FOUNDATION,741587488,2017-12-31,21996034,
1831,THE UNIVERSITY OF TEXAS FOUNDATION,741587488,2016-12-31,23064643,
1832,THE UNIVERSITY OF TEXAS FOUNDATION,741587488,2015-12-31,22404182,
1833,THE UNIVERSITY OF TEXAS FOUNDATION,741587488,2014-12-31,18945864,
1834,THE UNIVERSITY OF TEXAS FOUNDATION,741587488,2013-12-31,19363434,
1835,The University of Texas Law School,746056794,2024-08-31,16390395,The University of Texas Law School
1836,The University of Texas Law School,746056794,2023-08-31,13999489,The University of Texas Law School
1837,The University of Texas Law School Found,746056794,2022-08-31,11218751,The University of Texas Law School
1838,THE UNIVERSITY OF TEXAS LAW SCHOOL,746056794,2021-08-31,10167010,The University of Texas Law School
1839,THE UNIVERSITY OF TEXAS LAW SCHOOL,746056794,2020-08-31,9383375,The University of Texas Law School
1840,THE UNIVERSITY OF TEXAS LAW SCHOOL,746056794,2019-08-31,10119547,The University of Texas Law School
1841,THE UNIVERSITY OF TEXAS LAW SCHOOL,746056794,2018-08-31,9121994,The University of Texas Law School
1842,THE UNIVERSITY OF TEXAS LAW SCHOOL,746056794,2017-08-31,8057806,The University of Texas Law School
1843,THE UNIVERSITY OF TEXAS LAW SCHOOL,746056794,2016-08-31,11418345,The University of Texas Law School
1844,The University of Texas Law School,746056794,2015-08-31,6573566,The University of Texas Law School
1845,The University of Texas Law School,746056794,2014-08-31,9675359,The University of Texas Law School
1846,GRAMERCY PARK BLOCK ASSOC INC,133943089,2019-12-31,349880,
1847,GRAMERCY PARK BLOCK ASSOC INC,133943089,2018-12-31,304962,
1848,GRAMERCY PARK BLOCK ASSOC INC,133943089,2017-12-31,337187,
1849,GRAMERCY PARK BLOCK ASSOC INC,133943089,2016-12-31,223141,
1850,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2024-12-31,2701290053,
1851,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2023-12-31,2153142207,
1852,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2022-12-31,2243670840,
1853,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2021-12-31,1646401575,
1854,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2020-12-31,1351410816,
1855,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2019-12-31,1210607745,
1856,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2018-12-31,1548245914,
1857,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2017-12-31,1341910285,
1858,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2016-12-31,1107401888,
1859,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2015-12-31,1001592651,
1860,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2014-12-31,898438126,
1861,NATL CHRISTIAN CHARITABLE FDN INC,581493949,2013-12-31,682088408,
1862,Texas A&M Foundation,742245072,2024-06-30,210350897,Texas A&M Foundation
1863,Texas A&M Foundation,742245072,2023-06-30,223612881,Texas A&M Foundation
1864,Texas A&M Foundation,742245072,2022-06-30,169093028,Texas A&M Foundation
1865,Texas A&M Foundation,742245072,2021-06-30,149373413,Texas A&M Foundation
1866,Texas A&M Foundation,742245072,2020-06-30,149786736,Texas A&M Foundation
1867,Texas A&M Foundation,742245072,2019-06-30,160553713,Texas A&M Foundation
1868,Texas A&M Foundation,742245072,2018-06-30,149755987,Texas A&M Foundation
1869,Texas A&M Foundation,742245072,2017-06-30,116413521,Texas A&M Foundation
1870,Texas A&M Foundation,742245072,2016-06-30,100316641,Texas A&M Foundation
1871,Texas A&M Foundation,742245072,2014-06-30,95470491,Texas A&M Foundation
1872,YOUNG AMERICANS FOR LIBERTY FOUNDATION,453503672,2024-12-31,4685534,
1873,YOUNG AMERICANS FOR LIBERTY FOUNDATION,453503672,2023-12-31,4016594,
1874,YOUNG AMERICANS FOR LIBERTY FOUNDATION,453503672,2022-12-31,6155620,
1875,YOUNG AMERICANS FOR LIBERTY FOUNDATION,453503672,2021-12-31,5647805,
1876,YOUNG AMERICANS FOR LIBERTY FOUNDATION,453503672,2020-12-31,3316860,
1877,YOUNG AMERICANS FOR LIBERTY FOUNDATION,453503672,2019-12-31,3864352,
1878,SEX WORKERS OUTREACH PROJECT,262264638,2022-12-31,178412,
1879,NEW HARVEST INC,201425438,2017-12-31,638935,
1880,NEW HARVEST INC,201425438,2016-12-31,554983,
1881,New Harvest Inc,201425438,2015-12-31,301995,
1882,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2021-12-31,27320020,
1883,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2020-12-31,24398808,
1884,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2019-12-31,26182774,
1885,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2018-12-31,30724004,
1886,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2017-12-31,16619954,
1887,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2016-12-31,12502582,
1888,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2015-12-31,9203219,
1889,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2014-12-31,7561428,
1890,ALLIANCE FOR CHOICE IN EDUCATION,841531066,2013-12-31,6953828,
1891,CERTELL INC,461888092,2021-06-30,3270040,
1892,CERTELL INC,461888092,2020-06-30,2456205,
1893,CERTELL INC,461888092,2019-06-30,1347106,
1894,CERTELL INC,461888092,2018-06-30,1101015,
1895,CERTELL INC,461888092,2016-06-30,1110403,
1896,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2024-12-31,3031590,
1897,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2023-12-31,2465525,
1898,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2022-12-31,2296467,
1899,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2021-12-31,2362940,
1900,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2020-12-31,2362680,
1901,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2019-12-31,2569341,
1902,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2018-12-31,2053370,
1903,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2017-12-31,2044004,
1904,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2016-12-31,1940697,
1905,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2015-12-31,1768826,
1906,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2014-12-31,1928786,
1907,AMERICAN ANTI-VIVISECTION SOCIETY INC,230341990,2013-12-31,2783031,
1908,Southern Methodist University,750800689,2024-05-31,989836695,Southern Methodist University
1909,Southern Methodist University,750800689,2023-05-31,903667627,Southern Methodist University
1910,Southern Methodist University,750800689,2022-05-31,839825116,Southern Methodist University
1911,SOUTHERN METHODIST UNIVERSITY,750800689,2021-05-31,810503242,Southern Methodist University
1912,SOUTHERN METHODIST UNIVERSITY,750800689,2020-05-31,840116277,Southern Methodist University
1913,SOUTHERN METHODIST UNIVERSITY,750800689,2019-05-31,780822872,Southern Methodist University
1914,SOUTHERN METHODIST UNIVERSITY,750800689,2018-05-31,744735215,Southern Methodist University
1915,SOUTHERN METHODIST UNIVERSITY,750800689,2017-05-31,702881445,Southern Methodist University
1916,SOUTHERN METHODIST UNIVERSITY,750800689,2016-05-31,678991717,Southern Methodist University
1917,SOUTHERN METHODIST UNIVERSITY,750800689,2015-05-31,667778221,Southern Methodist University
1918,Southern Methodist University,750800689,2014-05-31,622793880,Southern Methodist University
1919,SOCIAL AND ENVIRONMENTAL ENTREPRENEURS,954116679,2024-12-31,82017260,
1920,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2023-12-31,78030066,
1921,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2022-12-31,59400322,
1922,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2021-12-31,35293558,
1923,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2020-12-31,20480142,
1924,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2019-12-31,18530653,
1925,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2018-12-31,19226009,
1926,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2017-12-31,13417311,
1927,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2016-12-31,9002898,
1928,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2015-12-31,8928886,
1929,SOCIAL & ENVIRONMENTAL ENTREPRENEURS,954116679,2014-12-31,7954197,
1930,Cardinal Institute for West Virginia Policy Inc,471932521,2023-12-31,832327,
1931,UNLEASH PROSPERITY INC,473514328,2023-12-31,2825894,
1932,COMMITTEE TO UNLEASH PROSPERIT,473514328,2022-12-31,2186627,
1933,COMMITTEE TO UNLEASH PROSPERIT,473514328,2021-12-31,1656322,
1934,COMMITTEE TO UNLEASH PROSPERIT,473514328,2020-12-31,1374513,
1935,SPECIAL DELIVERY DENTAL CARE INC,931071103,2024-12-31,2048429,
1936,SPECIAL DELIVERY DENTAL CARE INC,931071103,2022-12-31,2066533,
1937,SPECIAL DELIVERY DENTAL CARE INC,931071103,2021-12-31,1521788,
1938,SPECIAL DELIVERY DENTAL CARE INC,931071103,2020-12-31,1252484,
1939,SPECIAL DELIVERY DENTAL CARE INC,931071103,2019-12-31,1760411,
1940,SPECIAL DELIVERY DENTAL CARE INC,931071103,2018-12-31,2875285,
1941,SPECIAL DELIVERY DENTAL CARE INC,931071103,2017-12-31,1657870,
1942,Special Delivery Dental Care Inc,931071103,2016-12-31,1812183,
1943,Special Delivery Dental Care,931071103,2015-12-31,2337853,
1944,COMMUNIO FOUNDATION INC,815362485,2024-12-31,5965370,
1945,COMMUNIO FOUNDATION INC,815362485,2023-12-31,5737460,
1946,Communio Foundation Inc,815362485,2022-12-31,3784129,
1947,Communio Foundation Inc,815362485,2019-12-31,1276981,
1948,Culture of Freedom Initiative Inc,815362485,2017-12-31,748589,
1949,TEAM RUBICON INC,271720480,2024-12-31,38818406,
1950,TEAM RUBICON INC,271720480,2023-12-31,47949097,
1951,TEAM RUBICON INC,271720480,2022-12-31,49554176,
1952,TEAM RUBICON INC,271720480,2021-12-31,34582538,
1953,TEAM RUBICON INC,271720480,2020-12-31,57031181,
1954,TEAM RUBICON INC,271720480,2019-12-31,45963661,
1955,TEAM RUBICON INC,271720480,2018-12-31,40371305,
1956,TEAM RUBICON INC,271720480,2017-12-31,19056160,
1957,TEAM RUBICON INC,271720480,2015-12-31,6721261,
1958,TEAM RUBICON INC,271720480,2014-12-31,7874244,
1959,TEAM RUBICON INC,271720480,2013-12-31,5264233,
1960,Internet Archive,943242767,2024-12-31,23501138,
1961,Internet Archive,943242767,2022-12-31,25827598,
1962,Internet Archive,943242767,2021-12-31,25327789,
1963,Internet Archive,943242767,2020-12-31,19950582,
1964,Internet Archive,943242767,2019-12-31,37255498,
1965,Internet Archive,943242767,2018-12-31,18746743,
1966,Internet Archive,943242767,2017-12-31,18468621,
1967,Internet Archive,943242767,2016-12-31,16433357,
1968,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2024-06-30,12921946074,
1969,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2023-06-30,10542911354,
1970,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2022-06-30,11634379981,
1971,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2021-06-30,10215226599,
1972,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2020-06-30,7447268345,
1973,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2019-06-30,6164989844,
1974,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2018-06-30,4883801649,
1975,FIDELITY INVESTMENTS CHARITABLE GIFT FUND,110303001,2017-06-30,3834825046,
1976,REVIVE & RESTORE,814576399,2024-12-31,11277706,
1977,REVIVE & RESTORE,814576399,2023-12-31,8790885,
1978,REVIVE & RESTORE,814576399,2022-12-31,5535008,
1979,REVIVE & RESTORE,814576399,2021-12-31,3094093,
1980,Revive & Restore,814576399,2020-12-31,2918927,
1981,REVIVE & RESTORE,814576399,2018-12-31,652553,
1982,THE LONG NOW FOUNDATION,680384748,2023-12-31,4853175,
1983,THE LONG NOW FOUNDATION,680384748,2021-12-31,2968325,
1984,THE LONG NOW FOUNDATION,680384748,2019-12-31,3267879,
1985,THE LONG NOW FOUNDATION,680384748,2018-12-31,6596356,
1986,LET GROW INC,822643800,2018-12-31,471068,
1987,RPM FOUNDATION,202102643,2022-12-31,469781,
1988,RPM FOUNDATION,202102643,2021-12-31,430115,
1989,RPM FOUNDATION,202102643,2020-12-31,378706,
1990,RPM Foundation,202102643,2018-12-31,783180,
1991,RPM Foundation,202102643,2017-12-31,726816,
1992,RPM Foundation,202102643,2016-12-31,704567,
1993,HAGERTY EDUCATION PROGRAM,202102643,2015-12-31,563060,
1994,COLLECTORS FOUNDATION,202102643,2013-12-31,192893,
1995,PEOPLE UNITED FOR PRIVACY FOUNDATION,823439592,2024-12-31,2335345,
1996,PEOPLE UNITED FOR PRIVACY FOUNDATION,823439592,2023-12-31,2416868,
1997,PEOPLE UNITED FOR PRIVACY FOUNDATION,823439592,2022-12-31,1985949,
1998,PEOPLE UNITED FOR PRIVACY FOUNDATION,823439592,2020-12-31,794013,
1999,MATHEMATICAL SCIENCES RESEARCH INSTITUTE,942650833,2015-07-31,9676246,SIMONS LAUFER MATHEMATICAL SCIENCES
